Year,County Landed,Species,Pounds,Trips,Average Price,Estimated Value
1984,BAY,OYSTERS,16916,116,0.01,205
1985,BAY,OYSTERS,92250,1087,1.12,103383
1986,BAY,OYSTERS,79767,1391,1.98,158258
1987,BAY,OYSTERS,176645,2488,1.87,330057
1988,BAY,OYSTERS,120489,2576,2.02,243058
1989,BAY,OYSTERS,59896,1516,2.23,133563
1990,BAY,OYSTERS,107679,1765,2.75,296227
1991,BAY,OYSTERS,287041,4758,2.15,617317
1992,BAY,OYSTERS,431815,5707,1.31,565799
1993,BAY,OYSTERS,469920,4650,1.04,490281
1994,BAY,OYSTERS,314053,3113,1.08,337800
1995,BAY,OYSTERS,316272,3269,1.08,340947
1996,BAY,OYSTERS,308557,3004,1.17,360351
1997,BAY,OYSTERS,307145,3122,1.2,367324
1998,BAY,OYSTERS,12871,164,2.08,26738
1999,BAY,OYSTERS,28,2,3.52,100
2000,BAY,OYSTERS,182,7,1.79,326
2001,BAY,OYSTERS,164,6,2.15,353
2003,BAY,OYSTERS,112192,1318,1.88,210919
2004,BAY,OYSTERS,45186,512,1.79,80857
2005,BAY,OYSTERS,3102,36,2.07,6406
2006,BAY,OYSTERS,11004,131,2.4,26457
2007,BAY,OYSTERS,1092,16,2.71,2958
2008,BAY,OYSTERS,9806,140,2.29,22410
2009,BAY,OYSTERS,14091,182,2.52,35522
2010,BAY,OYSTERS,9096,138,2.85,25925
2011,BAY,OYSTERS,41203,423,3.26,134272
2012,BAY,OYSTERS,66469,997,3.59,238642
2013,BAY,OYSTERS,18413,476,4.63,85228
2014,BAY,OYSTERS,19089,541,7.42,141713
2015,BAY,OYSTERS,53510,1188,5.51,294574
2016,BAY,OYSTERS,75865,1773,5.69,432050
2017,BAY,OYSTERS,17267,515,7.71,133121
2018,BAY,OYSTERS,1872,52,8.41,15735
1985,BREVARD,OYSTERS,64253,56,0.51,32500
1986,BREVARD,OYSTERS,60525,102,2.7,163680
1987,BREVARD,OYSTERS,11363,59,1.94,22052
1988,BREVARD,OYSTERS,6527,77,2.13,13933
1989,BREVARD,OYSTERS,2902,80,2.04,5918
