"","Year","area","measurement"
"1",1986,"State Landings","2201007"
"2",1987,"State Landings","3791748"
"3",1988,"State Landings","2192095"
"4",1989,"State Landings","1857754"
"5",1990,"State Landings","2250475"
"6",1991,"State Landings","1917655"
"7",1992,"State Landings","2628142"
"8",1993,"State Landings","2788595"
"9",1994,"State Landings","2110112"
"10",1995,"State Landings","1512545"
"11",1996,"State Landings","1447417"
"12",1997,"State Landings","1898939"
"13",1998,"State Landings","1532785"
"14",1999,"State Landings","2331718"
"15",2000,"State Landings","2570230"
"16",2001,"State Landings","2582715"
"17",2002,"State Landings","1935435"
"18",2003,"State Landings","1734664"
"19",2004,"State Landings","1670528"
"20",2005,"State Landings","1455028"
"21",2006,"State Landings","2444883"
"22",2007,"State Landings","3028175"
"23",2008,"State Landings","2562153"
"24",2009,"State Landings","2915429"
"25",2010,"State Landings","2210328"
"26",2011,"State Landings","3179210"
"27",2012,"State Landings","3408904"
"28",2013,"State Landings","1290470"
"29",2014,"State Landings","753797"
"30",2015,"State Landings","846441"
"31",2016,"State Landings","881813"
"32",2017,"State Landings","710389"
"33",1986,"State Trips","18435"
"34",1987,"State Trips","52592"
"35",1988,"State Trips","45588"
"36",1989,"State Trips","38567"
"37",1990,"State Trips","41546"
"38",1991,"State Trips","35294"
"39",1992,"State Trips","38618"
"40",1993,"State Trips","33505"
"41",1994,"State Trips","24540"
"42",1995,"State Trips","18587"
"43",1996,"State Trips","15853"
"44",1997,"State Trips","21204"
"45",1998,"State Trips","18569"
"46",1999,"State Trips","27376"
"47",2000,"State Trips","28762"
"48",2001,"State Trips","28566"
"49",2002,"State Trips","23200"
"50",2003,"State Trips","22297"
"51",2004,"State Trips","20272"
"52",2005,"State Trips","15072"
"53",2006,"State Trips","26397"
"54",2007,"State Trips","33198"
"55",2008,"State Trips","31605"
"56",2009,"State Trips","42984"
"57",2010,"State Trips","36086"
"58",2011,"State Trips","51358"
"59",2012,"State Trips","59344"
"60",2013,"State Trips","29984"
"61",2014,"State Trips","21894"
"62",2015,"State Trips","24899"
"63",2016,"State Trips","25711"
"64",2017,"State Trips","21767"
"65",1986,"State Per Trips","119.3928397"
"66",1987,"State Per Trips","72.09742927"
"67",1988,"State Per Trips","48.0849127"
"68",1989,"State Per Trips","48.16952317"
"69",1990,"State Per Trips","54.16827131"
"70",1991,"State Per Trips","54.33373945"
"71",1992,"State Per Trips","68.05484489"
"72",1993,"State Per Trips","83.22921952"
"73",1994,"State Per Trips","85.98663407"
"74",1995,"State Per Trips","81.3764997"
"75",1996,"State Per Trips","91.30240333"
"76",1997,"State Per Trips","89.55569704"
"77",1998,"State Per Trips","82.54537132"
"78",1999,"State Per Trips","85.17380187"
"79",2000,"State Per Trips","89.36200542"
"80",2001,"State Per Trips","90.41220332"
"81",2002,"State Per Trips","83.42392241"
"82",2003,"State Per Trips","77.79808943"
"83",2004,"State Per Trips","82.40568272"
"84",2005,"State Per Trips","96.53848195"
"85",2006,"State Per Trips","92.61972951"
"86",2007,"State Per Trips","91.21558528"
"87",2008,"State Per Trips","81.06796393"
"88",2009,"State Per Trips","67.82591197"
"89",2010,"State Per Trips","61.25167655"
"90",2011,"State Per Trips","61.90291678"
"91",2012,"State Per Trips","57.44311135"
"92",2013,"State Per Trips","43.0386206"
"93",2014,"State Per Trips","34.42938705"
"94",2015,"State Per Trips","33.99497972"
"95",2016,"State Per Trips","34.29711019"
"96",2017,"State Per Trips","32.63605458"
